cnpj,esperado
11.222.333/0001-81,true
11222333000181,true
12.345.678/0002-95,true
98.765.432/0001-79,true
98.765.432/0002-59,true
98.765.432/0003-39,true
98.765.432/0100-09,true
00.000.000/0001-91,true
33.000.167/0001-01,true
33.592.510/0001-54,true
11.111.111/1111-11,false
00.000.000/0000-00,false
11222333/0001-81,false
11.222.333/0001-8,false
11.222.333/0001-811,false
11.222.333/000A-81,false
AB.222.333/0001-81,false
11-222-333/0001-81,false
1122233300018,false
11.222.333/0001-91,false
11.222.333/0010-81,false
12.345.678/9012-00,false
98.765.432/0001-00,false
22.222.222/2222-22,false
99.999.999/9999-99,false
12345678901234,false
98765432109876,false
11.222.333/0001-81,true
11222333000181,true
14.777.000/0001-61,true
45.987.123/0001-20,true
54.321.987/0001-30,true
21.432.109/0001-45,true
23.654.987/0001-12,true
31.213.213/0001-45,true
27.654.321/0001-98,true
40.123.456/0001-33,true
41.222.333/0001-50,true
42.333.444/0001-66,true
43.444.555/0001-77,true
44.555.666/0001-88,true
55.666.777/0001-99,true
66.777.888/0001-11,true
77.888.999/0001-22,true
88.999.111/0001-33,true
99.111.222/0001-44,true
10.210.310/0001-55,true
13.310.410/0001-66,true
15.410.510/0001-77,true
16.510.610/0001-88,true
17.610.710/0001-99,true
18.710.810/0001-12,true
19.810.910/0001-23,true
20.910.010/0001-34,true
21.012.110/0001-45,true
22.113.210/0001-56,true
23.214.310/0001-67,true
24.315.410/0001-78,true
25.416.510/0001-89,true
26.517.610/0001-90,true
27.618.710/0001-01,true
28.719.810/0001-12,true
29.820.910/0001-23,true
30.921.011/0001-34,true
31.022.111/0001-45,true
32.123.211/0001-56,true
33.224.311/0001-67,true
34.325.411/0001-78,true
35.426.511/0001-89,true
36.527.611/0001-90,true
37.628.711/0001-01,true
38.729.811/0001-12,true
39.830.911/0001-23,true
40.931.012/0001-34,true
41.032.112/0001-45,true
42.133.212/0001-56,true
43.234.312/0001-67,true
44.335.412/0001-78,true
45.436.512/0001-89,true
46.537.612/0001-90,true
47.638.712/0001-01,true
48.739.812/0001-12,true
49.840.912/0001-23,true
50.941.013/0001-34,true
51.042.113/0001-45,true
52.143.213/0001-56,true
53.244.313/0001-67,true
54.345.413/0001-78,true
55.446.513/0001-89,true
56.547.613/0001-90,true
57.648.713/0001-01,true
58.749.813/0001-12,true
59.850.913/0001-23,true
60.951.014/0001-34,true
